id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl,name_tran,time_tran,creator_tran,level_tran,placeOfOrigin_tran,museum_tran,type_tran,size_tran,material_tran,description_tran
2040,"bowl, lidded",null,null,null,null,Auckland Museum,null,55mm; ,ceramic/inorganic material/AAT Materials,small ceramic lidded bowl with blue decoration on a white ground,https://www.aucklandmuseum.com/discover/collections/record/840248?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/96421/300006aaa4f928f10998824f7c91ebbcb8bfac93.jpg,碗，带盖,无,无,无,无,奥克兰博物馆,无,55毫米；,陶瓷/无机材料/AAT材料,白色地面上有蓝色装饰的小型陶瓷盖碗
2041,bowl,18th Century-19th Century,null,null,null,Auckland Museum,null,precise: 35mm; precise: 131mm; ,brass (alloy)/copper alloy/nonferrous metal/metal/inorganic material/AAT Materials; wood/plant material/AAT Materials,"bowl, on three small feet with two handles.",https://www.aucklandmuseum.com/discover/collections/record/91412?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/139967/0dd7897a203db093d39926cb1d7622511c736996.jpg,碗,18世纪-19世纪,无,无,无,奥克兰博物馆,无,精度：35mm；精密度：131mm；,黄铜（合金）/铜合金/有色金属/金属/无机材料/AAT材料；木材/植物材料/AAT材料,碗，三只小脚上有两个把手。
2043,"case, fan",Circa 1920,null,null,null,Auckland Museum,null,measured: 335mm; measured: 60mm; ,silk (textile)/AAT Materials; silk thread/thread/AAT Materials,"fan case, silk embroidery, sheath, one side black, one side cream satin bound, embroidered with flowers, butterflies, peach spray, tape hanger.",https://www.aucklandmuseum.com/discover/collections/record/9981?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/143783/8539a1ee4ac227fea02caf48ceceeaf40c7fce1b.jpg,风扇外壳,大约1920年,无,无,无,奥克兰博物馆,无,实测：335mm；实测：60mm；,丝绸（纺织品）/AAT材料；丝线/丝线/AAT材料,扇套，丝绣，鞘，一面黑色，一面奶油缎面装订，绣有花朵，蝴蝶，桃喷，胶带衣架。
2044,"caddy, tea",null,null,null,null,Auckland Museum,null,presumed to be HxWxD: 170mm; ,wood/plant material/AAT Materials; lead/nonferrous metal/metal/inorganic material/AAT Materials; ivory/dentin/bone/AAT Materials,"tea caddy; box; made from wood, lead, and metal; rectangle shaped box; 2 hinges at the lid back, and a handle at each side; keyhole at front  box is laquered a dark brown with gold designed on lid and sides of moths, pheasants, flowers, and bamboo; lead interior box with a lid with engraved designs of 2 figures in a garden scene; interior lead box has a bakelite knob;",https://www.aucklandmuseum.com/discover/collections/record/67866?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/445250/f05e5fe594efc06539c812e67d935e70e7681fb9.jpg,茶桶,无,无,无,无,奥克兰博物馆,无,推测为高x宽x深：170mm；,木材/植物材料/AAT材料；铅/有色金属/金属/无机材料/AAT材料；象牙/牙本质/骨骼/AAT材料,茶桶；盒由木材、铅和金属制成；矩形盒子；盖子背面有2个铰链，两侧各有一个把手；盒子前面的钥匙孔是深棕色的，盖子和蛾、山鸡、花和竹子的侧面都有金色的图案；带盖子的铅制内部盒子，上面雕刻着花园场景中的两个人物的图案；内部引线盒有一个胶木旋钮；
2045,bowl,Circa 1100 BC-Circa 256 BC; 9th Century BC-8th Century BC,null,null,null,Auckland Museum,null,140mm; ,bronze/copper alloy/nonferrous metal/metal/inorganic material/AAT Materials,"bowl, bronze. A footed tou. Shallow, vertical-sided flat bowl with a plain flat rim.  Decorative elements etched around exterior of bowl sides. The bowl sits atop large hollow stem which is decorated with pierced diaper pattern, 'late western Chou - Ch'un-ch'iu' [exhibition catalogue]  Vessel cast in three pieces? - bowl, upper pedestal, lower pedestal. [Pu - pedestal vessel, Hsin Chong, China 8th-9th century BC - gallery card]. Western Zhou 1122-771 BCE.",https://www.aucklandmuseum.com/discover/collections/record/16635?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/127750/218181a71e16033eacf752674dc577be2cf6f381.jpg,碗,约公元前1100年约公元前256年；公元前9世纪-公元前8世纪,无,无,无,奥克兰博物馆,无,140毫米；,青铜/铜合金/有色金属/金属/无机材料/AAT材料,青铜碗。有脚的头。浅的、垂直边的平碗，边缘平坦。碗侧面外部蚀刻的装饰元素。碗坐在中空的大茎上，茎上装饰着穿孔的尿布图案，“晚期西方周”[展览目录]铸成三块的容器？-碗，上支座，下支座。[蒲座器，辛庄，公元前8-9世纪中国-画廊卡片]。西周公元前1122-771年。
2046,jar; stand,18th Century,null,null,null,Auckland Museum,null,from applied arts catalogue card: 169mm; from applied arts catalogue card: 214mm; precise: 73mm; precise: 211mm; precise: 28mm; precise: 205mm; ,porcelain/ceramic/inorganic material/AAT Materials; enamel/coating (material)/AAT Materials,"Porcelain brush pot, famille verte, decorated in enamel colors showing scene of courtiers at table.",https://www.aucklandmuseum.com/discover/collections/record/6462?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/178469/10ca2a313f9abf1b8c988c1794edaea8f7f8ca73.jpg,罐子站,十八世纪,无,无,无,奥克兰博物馆,无,来自实用艺术目录卡：169mm；来自实用艺术目录卡：214mm；精度：73mm；精度：211mm；精度：28mm；精度：205mm；,陶瓷/陶瓷/无机材料/AAT材料；搪瓷/涂层（材料）/AAT材料,瓷刷壶，家族式，用珐琅彩装饰，展示了朝臣在餐桌上的情景。
2047,"figure, mounted",0618-0906; 1368-1644,null,null,null,Auckland Museum,null,431.8mm; ,ceramic/inorganic material/AAT Materials; glaze/coating (material)/AAT Materials,figure of a horse rider mounted on a horse; Made from earthenware pottery and glaze. The horse is coloured a yellow colour with green reigns and tassels with a brown saddle. The horse is mounted in a thing rectangular base. The rider is wearing a green tunic and has a topknot hairstyle with black hair. The tail of the horse is a separate piece that fits inside a hole on the horse's rear. The underside of the horses stomach has a large circular hole from th drying process of the ceramic,https://www.aucklandmuseum.com/discover/collections/record/6448?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/177925/8fe5a5c24cd4f05f615da8f261ca782a0a9ffc0a.jpg,图形，已安装,0618-0906; 1368-1644,无,无,无,奥克兰博物馆,无,431.8毫米；,陶瓷/无机材料/AAT材料；釉/涂层（材料）/AAT材料,骑马者骑在马上的形象；由陶器和釉料制成。这匹马的颜色是黄色配绿色，流苏配棕色马鞍。马被安置在一个长方形的底座上。骑手穿着一件绿色束腰外衣，留着一头乌黑的头发。马的尾巴是一个单独的部分，可以放在马后部的一个洞里。马的胃下面有一个大圆孔，这是陶瓷干燥过程中产生的
2048,bowl,1392-1910,null,null,null,Auckland Museum,null,80mm; ,ceramic/inorganic material/AAT Materials,"bowl, stoneware, porcellanous cream body, glaze similar to Chinese 'Ch'ing pai' type, six spur marks in cavetto",https://www.aucklandmuseum.com/discover/collections/record/1311?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/114514/cecf9bec57c0237c08ee720396fb4fd65c6e5b4a.jpg,碗,1392-1910,无,无,无,奥克兰博物馆,无,80mm；,陶瓷/无机材料/AAT材料,碗，石制品，瓷奶油胎，类似中国“清牌”类型的釉料，洞穴中的六个刺痕
2049,figure,0618-0906,null,null,null,Auckland Museum,null,195mm; ,ceramic/inorganic material/AAT Materials; gesso/AAT Materials,"Tomb figure; Mingqi tomb figure of Tang dynasty era.  Made from earthenware and paint. The figure depicts a seated female attendant holding a circular object. The figure has knees bent, one in front of the figures body and one behind the body. The figure has a high top knot, long sleeves and a long skirt with some incised details around the hem. On a thin rectangular base. The figure has remnullts of black, white, peach, green, and yellow paint. The underside of the base has a hole exposing the hollow interior of the figure; ; ; figure, dancing girl, unglazed with gesso, three of five. ""painted""; ; Tomb figures of dancing girls. T'ANG. Unglazed. Painted. [gallery cards]",https://www.aucklandmuseum.com/discover/collections/record/16224?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/126352/6055b2f098d75679effac7a33475abac9ca37928.jpg,图形,0618-0906,无,无,无,奥克兰博物馆,无,195毫米；,陶瓷/无机材料/AAT材料；gesso/AAT材料,墓像；唐明启墓人物。由陶器和油漆制成。该图描绘了一位坐着的女服务员拿着一个圆形物体。人物的膝盖弯曲，一个在人物身体前面，一个放在身体后面。这个人物有一个高高的顶部结，长袖和一条下摆有一些切割细节的长裙。在一个薄的矩形底座上。这个人物有黑色、白色、桃红色、绿色和黄色油漆的残留物。底座的下侧具有一个孔，该孔暴露出图的中空内部；身材，跳舞的女孩，没有石膏釉，五分之三。“已绘制”；跳舞女孩的墓像。唐，没有上釉。着色的。[多媒体资料卡]
2050,panel,[18th Century],null,null,null,Auckland Museum,null,545mm; : 915mm; inner panel: 345mm; inner panel: 715mm; ,silk (textile)/AAT Materials; metallic thread/fibre/AAT Materials,"panel, embroidered, natural silks embroidered in multi-coloured silks with gold thread outline, centre panel has birds, deer, insects, flowers, fruit and leaves, border on all sides of pineapples (?) formalized scrolls, leaves etc, mounted on quilted silk lining.",https://www.aucklandmuseum.com/discover/collections/record/19263?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/150729/2b1c71f1b6c14c7ffde869b8dee5a4261b838fdf.jpg,面板,[18世纪],无,无,无,奥克兰博物馆,无,545毫米；：915毫米；内板：345mm；内板：715mm；,丝绸（纺织品）/AAT材料；金属线/纤维/AAT材料,面板，刺绣，天然丝绸，用金线轮廓的多色丝绸刺绣，中间面板有鸟、鹿、昆虫、花、水果和树叶，菠萝（？）正式卷轴、树叶等的四周边缘，安装在绗缝丝绸衬里上。
2051,disc,Circa 1500 BC-Circa 1050 BC,null,null,null,Auckland Museum,null,87mm; ,jade/metamorphic rock/rock/inorganic material/AAT Materials,"disc ritual, circlet. Light green jade. Outer edge irregular with four shallow protuberances in the form of human foot. Also two protuberances which are rounded and not feet. Reverse side feet are not formed but outline on outer edge is well defined. Central hole measures 63x63mm. Astronomical object? Shang Dynasty",https://www.aucklandmuseum.com/discover/collections/record/10252?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/103852/3214646f5cb7f457ea33b5e56562389cef202b08.jpg,圆盘,约公元前1500年约公元前1050年,无,无,无,奥克兰博物馆,无,87毫米；,玉石/变质岩/岩石/无机材料/AAT材料,圆盘仪式，圆形。浅绿色的玉。外缘不规则，有四个人脚形状的浅突起。还有两个突起，它们是圆形的，而不是脚。没有形成反侧脚，但外缘的轮廓已经很好地定义。中心孔尺寸为63x63mm。天文物体？商代
2052,figure,0618-0906,null,null,null,Auckland Museum,null,"19.5 inches, old ethnology catalogue card: 495mm; ",ceramic/inorganic material/AAT Materials; tenmoku glaze/ceramic glaze/glaze/coating (material)/AAT Materials,"figure, horse; Mingqi tomb figure. Made from a buff earthenware with a tenmoku glaze. The horse has a thin rectangular base. The horse is coloured  a dark brown from the tenmoku glaze. The horse is wearing a saddle with a green blanket and brown saddle. Parts of the colouring has broken away exposing the ceramic underneath. The tail of the horse is missing",https://www.aucklandmuseum.com/discover/collections/record/12453?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/112262/0c6691b38be190713e23acbf502d5794b4b9dda4.jpg,图形,0618-0906,无,无,无,奥克兰博物馆,无,19.5英寸，旧民族学目录卡：495毫米；,陶瓷/无机材料/AAT材料；tenmoku釉/陶瓷釉/釉/涂层（材料）/AAT材料,人物、马；明启墓人。用淡黄色的土制陶器，上釉。这匹马有一个薄的长方形底座。这匹马的颜色是由天魔库釉染成的深棕色。这匹马骑着一个有绿色毯子和棕色马鞍的马鞍。部分颜料脱落，露出下面的陶瓷。马的尾巴不见了
2053,vase,0960-1279,null,null,null,Auckland Museum,null,190.5mm; from applied arts catalogue card: 170mm; ,ceramic/inorganic material/AAT Materials; polychrome enamel/enamel/coating (material)/AAT Materials,"vase; Made from earthenware. A  globular body.  Pale buff colour with polychrome floral pattern in red, green,yellow, and black. tzu chou.; ""Vase, Tz'u-chou stoneware. SUNG. Polychrome (red, green, yellow and black) floral decoration. [gallery card]""",https://www.aucklandmuseum.com/discover/collections/record/10204?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/103564/e1ce2469e7a37aee08b7562767eed2f02c6d1274.jpg,花瓶,0960-1279,无,无,无,奥克兰博物馆,无,190.5毫米；来自实用艺术目录卡：170mm；,陶瓷/无机材料/AAT材料；多色搪瓷/搪瓷/涂层（材料）/AAT材料,花瓶由陶器制成。球状体。浅黄色，有红色、绿色、黄色和黑色的多色花卉图案。周。；花瓶，竹筒。太阳。多色（红、绿、黄、黑）花卉装饰。[画廊卡]
2054,"figure, female",0618-0906,null,null,null,Auckland Museum,null,205mm; ,ceramic/inorganic material/AAT Materials; gesso/AAT Materials,"Tomb figure; Mingqi tomb figure of Tang dynasty era. Made from earthenware. The figure depicts a female attendant, the figure is standing in a slight bow with her left arm raised above her head, the left arm is missing. The figure has a high top knot, and is wearing long sleeved robes and a long skirt. The figure is standing on a thin square base. The figure has remnullts of  beige paint and white gesso. The underside of the figure reveals a beige coloured ceramic beneath the paint",https://www.aucklandmuseum.com/discover/collections/record/13229?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/115077/3d1f10e54a66e712374b70318922f3093d45e2b1.jpg,身材，女性,0618-0906,无,无,无,奥克兰博物馆,无,205毫米；,陶瓷/无机材料/AAT材料；gesso/AAT材料,墓像；唐明启墓人物。由陶器制成。该图描绘了一名女服务员，她微微鞠躬，左臂举过头顶，左臂不见了。该人物有一个高高的顶部结，穿着长袖长袍和长裙。这个人物站在一个薄薄的方形底座上。这个人物有米色油漆和白色石膏的残留物。图的下面显示了油漆下面的米色陶瓷
2055,cup and saucer,1782-1835,null,null,null,Auckland Museum,null,from cat card: 80mm; from cat card: 67mm; from cat card: 140mm; from cat card: 30mm; ,soft paste porcelain/porcelain/ceramic/inorganic material/AAT Materials,"cup and saucer; Made from porcelain. A white porcelain  base with transfer designs of traditional  Chinese life [Chinoiserie manner] with 5 male figures, a bird, and a dog in front of Chinese architecture. The majority of the designs are in brown with the tunics of the figures in blue, red, and pink. The saucer is circular with raised sides, the cup has tall sides and a small circular foot. The cup has lost it's handle",https://www.aucklandmuseum.com/discover/collections/record/18005?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/145636/c1ed0bb69bea788ab8743e04ac03a67a102e9a58.jpg,杯碟,1782-1835,无,无,无,奥克兰博物馆,无,自猫牌：80mm；自猫牌：67mm；自猫牌：140mm；自猫牌：30mm；,软瓷/瓷/陶瓷/无机材料/AAT材料,杯碟；由瓷器制成。一个白色瓷底座，带有中国传统生活[中国风格]的转移设计，在中国建筑前有5个男性形象、一只鸟和一只狗。大多数图案是棕色的，人物的束腰外衣是蓝色、红色和粉色的。茶托是圆形的，有凸起的侧面，杯子有高的侧面和一个小的圆形脚。杯子失去了把手
2056,vase and stand,null,null,null,null,Auckland Museum,null,without lid: 272mm; with lid: 432mm; precise: 52mm; precise: 147mm; ,porcelain/ceramic/inorganic material/AAT Materials; wood/plant material/AAT Materials,"Porcelain jar, famille rose and gold-painted decoration, showing floral plants. Porcelain lid, famille rose and a foo dog stand.",https://www.aucklandmuseum.com/discover/collections/record/4983?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/165421/ae7abc3bb6d95309d12625dc7ffa2478bb924c38.jpg,花瓶和支架,无,无,无,无,奥克兰博物馆,无,无盖：272mm；带盖：432mm；精度：52mm；精密度：147mm；,陶瓷/陶瓷/无机材料/AAT材料；木材/植物材料/AAT材料,瓷瓶，家庭玫瑰和金色彩绘装饰，展示花卉植物。瓷盖子，家庭玫瑰和一个foodog支架。
2057,vase,0960-1279,null,null,null,Auckland Museum,null,196.85mm; from applied arts catalogue card: 190mm; ,ceramic/inorganic material/AAT Materials; slip/clay/inorganic material/AAT Materials,"vase. wide mouth, narrow base. grey earthenware painted on white slip. floral design. Sung Dynasty. ""Tzu Chow ware, baluster shape, white slip over buff body, manganese brush decoration"" ""free and vigorous brush strokes""; ; Vase, Tz'u-chou stoneware. SUNG.  Notable for its fluent brushwork. [gallery card]",https://www.aucklandmuseum.com/discover/collections/record/5256?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/166706/b881ea8245603cc8a8182b69ff22ca8527f7d5fb.jpg,花瓶,0960-1279,无,无,无,奥克兰博物馆,无,196.85毫米；来自实用艺术目录卡：190毫米；,陶瓷/无机材料/AAT材料；滑动/粘土/无机材料/AAT材料,花瓶嘴巴宽，底座窄。画在白色纸条上的灰色陶器。花卉设计。宋代。“周器，栏形，白滑浅黄色身，锰刷装饰”“笔法洒脱苍劲”；花瓶、慈畴瓷器。宋朝。以其流畅的笔触而闻名
2058,"figure, female",0618-0906,null,null,null,Auckland Museum,null,175mm; base: 105mm; base: 95mm; ,ceramic/inorganic material/AAT Materials; gesso/AAT Materials,"Tomb figure; Mingqi tomb figure of Tang dynasty era. Made from earthenware. The figure depicts a female attendant, the figure is seated with one knee bent in front of her and one knee bent behind her. The figure's hair is pulled to a side and she is wearing long robes and has some incisions around the front hem for ornamentation. The figure sits on a thin square base. The figure is covered with a black paint and has remnullts of  yellow paint and white gesso. The underside of the figure reveals a beige coloured ceramic beneath the paint",https://www.aucklandmuseum.com/discover/collections/record/7355?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/184735/a14e2fed9eae9bbf515e06fe2d06f4a0c7b1dcfc.jpg,身材，女性,0618-0906,无,无,无,奥克兰博物馆,无,175毫米；底座：105mm；底座：95mm；,陶瓷/无机材料/AAT材料；gesso/AAT材料,墓像；唐明启墓人物。由陶器制成。该图描绘了一名女服务员，该图坐在她面前，单膝弯曲，身后。这个人物的头发被拉到一边，她穿着长袍，在前下摆周围有一些切口作为装饰。这个人物坐在一个薄薄的方形底座上。这个人物身上覆盖着一层黑色油漆，还残留着黄色油漆和白色石膏。图的下面显示了油漆下面的米色陶瓷
2059,pottery figure,0618-0906 AD,null,null,null,Auckland Museum,null,212mm; ,ceramic/inorganic material/AAT Materials; gesso/AAT Materials,"Tomb figure; Mingqi tomb figure of Tang dynasty era. Made from earthenware. The figure depicts a freestanding woman in long robes, and long hair, with a flute. The figure has been painted black and then over the top is green, yellow, and white for the robes, red for the flute, and white for the hair. The paint has faded and is coming away in some spots.",https://www.aucklandmuseum.com/discover/collections/record/83080?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/193534/901454ad4bef528e13bae3320d735d8a3c70460d.jpg,陶俑,0618-0906广告,无,无,无,奥克兰博物馆,无,212毫米；,陶瓷/无机材料/AAT材料；gesso/AAT材料,墓像；唐明启墓人物。由陶器制成。该图描绘了一位身穿长袍、留着长发、手持长笛的独立女性。人物被画成黑色，然后顶部是绿色、黄色和白色的长袍，红色的笛子，白色的头发。油漆已经褪色，有些地方正在脱落。
2060,vase,1662-1722,null,null,null,Auckland Museum,null,"from applied arts catalogue card: 200mm; from CA cat #278, pg. 44: 76.2mm; mouth: 36mm; shoulder: 73mm; base: 51mm; ",porcelain/ceramic/inorganic material/AAT Materials; glaze/coating (material)/AAT Materials; gilding (material)/metal/inorganic material/AAT Materials; wood/plant material/AAT Materials,"Porcelain vase, cylindrical, decorated in overglaze iron-red, showing a nobleman and a boy in red robes with patterns in gold, standing by a tree.",https://www.aucklandmuseum.com/discover/collections/record/9621?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/142782/50bf68399bfb5bd65411b660e05db714b9c93985.jpg,花瓶,1662-1722,无,无,无,奥克兰博物馆,无,来自实用艺术目录卡：200mm；来自CA目录#278，第44页：76.2mm；口部：36mm；肩部：73mm；底座：51mm；,陶瓷/陶瓷/无机材料/AAT材料；釉/涂层（材料）/AAT材料；镀金（材料）/金属/无机材料/AAT材料；木材/植物材料/AAT材料,瓷瓶，圆柱形，釉上铁红色装饰，展示了一个贵族和一个穿着金色图案红色长袍的男孩站在树旁。
2066,Tell that to the Marines!,[1917-1918],null,Single Item,null,Auckland Museum,null,null,paper (fiber product)/AAT Materials; medium-density fibreboard/fiberboard/AAT Materials,"Poster produced in America during the First World War. Image of a  man wearing a business suit, in the process of taking off his coat, a newspaper and hat lay at his feet, the newspaper headline reads ""Huns kill women and children!"". Text ""Tell that to the Marines! At 371 Market Street"".; Annotated on board backing in blue pencil or crayon ""W5 left"".",https://www.aucklandmuseum.com/discover/collections/record/980972?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/466738/80b32c3b96b4de75bbf267fd057a9385cbd614f1.jpg,告诉海军陆战队！,[1917-1918],无,单个项目,无,奥克兰博物馆,无,无,纸（纤维产品）/AAT材料；中密度纤维板/纤维板/AAT材料,第一次世界大战期间在美国制作的海报。照片中，一名男子穿着西装，脱下外套，脚下放着一份报纸和一顶帽子，报纸标题是“匈奴杀害妇女和儿童！”。短信“告诉海军陆战队！在市场街371号”。；用蓝色铅笔或蜡笔“W5 left”在板背上批注。
2067,sherd,1368-1644,null,null,null,Auckland Museum,null,null,ceramic/inorganic material/AAT Materials,"sherd, small; round; jun (Chün) glaze",https://www.aucklandmuseum.com/discover/collections/record/16557?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/127309/a514a8111bc5672addbdf7f41ecf669df5476af8.jpg,sherd,1368-1644,无,无,无,奥克兰博物馆,无,无,陶瓷/无机材料/AAT材料,雪屑，小；圆形的钧釉
2068,jar,1662-1722,null,null,null,Auckland Museum,null,470mm; : 300mm; from applied arts catalogue card: 350mm; from applied arts catalogue card: 190mm; ,porcelain/ceramic/inorganic material/AAT Materials,"vase, baluster shaped, lidded decorated with adults and children among rocks and banullas, ""lidded vase, baluster form, adults and children among rocks and banullas, clear firmly drawn"". ""To an institution which, like the Auckland Museum, which has to depend so much on the personal efforts of its friends, it is no slight advantage to receive the active sympathy and constant assistance you have granted during many years; and which has always been so appropriately and gracefully tendered."" So wrote Thomas Peacock, (President, Auckland Museum) in a letter to James Tannock Mackelvie on 18 August 1881. In 1934, the museum was enriched by the substantial loan of the collection of Auckland businessman, philanthropist and collector, James Tannock Mackelvie (born 1824, Scotland - died 1885, England). This guan or covered jar is an addition to Mackelvie's original collection that has benefited from judicious purchasing by his trustees, based on the spirit of the Mackelvie's original collection.",https://www.aucklandmuseum.com/discover/collections/record/16220?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/126215/636a79566297d560611061d298e06f250ae66635.jpg,罐子,1662-1722,无,无,无,奥克兰博物馆,无,470毫米；：300mm；来自实用艺术目录卡：350mm；来自实用艺术目录卡：190毫米；,陶瓷/陶瓷/无机材料/AAT材料,花瓶，栏杆形，盖饰有成人和儿童在岩石和香蕉之间，“盖花瓶，栏杆形式，成人和儿童之间的岩石和香蕉，清晰牢固地绘制”。1881年8月18日，托马斯·皮科克（奥克兰博物馆主席）在给詹姆斯·坦诺克·麦克尔维的一封信中写道：“对于像奥克兰博物馆这样一个在很大程度上依赖朋友们个人努力的机构来说，得到你多年来给予的积极同情和持续的帮助是一件非常有利的事情；而且它总是如此得体和优雅地提供帮助。”。1934年，奥克兰商人、慈善家和收藏家詹姆斯·坦诺克·麦克尔维（James Tannock Mackelvie，1824年出生，苏格兰，1885年去世，英国）的大量藏品使博物馆变得丰富起来。这个冠或有盖的罐子是Mackelvie原始收藏的补充，得益于他的受托人基于Mackel vie原始藏品的精神明智地购买。
2069,"plate, small",null,null,null,null,Auckland Museum,null,174mm; ,ceramic/inorganic material/AAT Materials; ceramic glaze/glaze/coating (material)/AAT Materials,small swatow ware plate with iron red decoration,https://www.aucklandmuseum.com/discover/collections/record/16214?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/12580/f872b6db373c30cd55b3daa77439294e6db46c04.jpg,板，小,无,无,无,无,奥克兰博物馆,无,174毫米；,陶瓷/无机材料/AAT材料；陶瓷釉/釉/涂层（材料）/AAT材料,铁红色装饰小拍瓷盘
2071,"robe, pieces",null,null,null,null,Auckland Museum,null,3000 x 1280 x 780mm; ,damask/AAT Materials; brocade/AAT Materials,"four pieces joined to make two pieces (.1 - .2) (for unmade robe, sleeve pieces missing), bright yellow woven in multi-coloured silk and metal thread for use as dragon robe, design identical with two lengths in reverse, some of the yellow silk has been cut away.",https://www.aucklandmuseum.com/discover/collections/record/17374?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/130685/4ba945e8fdfe7fc106f6e994dcd9779602e33138.jpg,长袍，件,无,无,无,无,奥克兰博物馆,无,3000 x 1280 x 780mm；,大马士革/AAT材料；锦/AAT材料,四片拼接成两片（.1-.2）（未制作的长袍，缺少袖片），用五彩丝线和金属线编织成亮黄色，用作龙袍，图案与反面的两段长度相同，部分黄色丝线被剪掉。
2072,"teapot, lidded",1736-1795,null,null,null,Auckland Museum,null,98mm; ,ceramic/inorganic material/AAT Materials,"teapot and cover, stoneware Yi Hsing tea pot with Kylin on lid",https://www.aucklandmuseum.com/discover/collections/record/19304?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/150349/99f891db912f05f0c4f8bc1030942cb505c21ca8.jpg,带盖茶壶,1736-1795,无,无,无,奥克兰博物馆,无,98毫米；,陶瓷/无机材料/AAT材料,壶及壶盖，壶盖麒麟宜兴石壶
2073,cup,18th Century-19th Century,null,null,null,Auckland Museum,null,175mm; ,brass (alloy)/copper alloy/nonferrous metal/metal/inorganic material/AAT Materials,"brass cup on tripod legs with wide flared lips and incised geometric band around middle, signature on base",https://www.aucklandmuseum.com/discover/collections/record/2346?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/153365/e0db13f2b48fbbb24d07250c44558dac24fca54b.jpg,杯子,18世纪-19世纪,无,无,无,奥克兰博物馆,无,175毫米；,黄铜（合金）/铜合金/有色金属/金属/无机材料/AAT材料,三脚架腿上的黄铜杯，宽喇叭唇，中间有雕刻的几何带，底座上有签名
2074,vase,1368-1644,null,null,null,Auckland Museum,null,75mm; ,porcelain/ceramic/inorganic material/AAT Materials,"vase, lidless, blue and white with scrolling vines",https://www.aucklandmuseum.com/discover/collections/record/3093?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/156308/60c47b4845fa48f5bd8f442ee461f1ae4d1a5ab2.jpg,花瓶,1368-1644,无,无,无,奥克兰博物馆,无,75mm；,陶瓷/陶瓷/无机材料/AAT材料,花瓶，无盖，蓝白相间，带滚动藤蔓
2075,bowl,null,null,null,null,Auckland Museum,null,87mm; ,ceramic/inorganic material/AAT Materials,bowl swatow ware for export to Indonesia red decoration,https://www.aucklandmuseum.com/discover/collections/record/15145?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/122052/170f004fb72bceffd126417724cf7fdbaed18c6b.jpg,碗,无,无,无,无,奥克兰博物馆,无,87毫米；,陶瓷/无机材料/AAT材料,出口印尼红饰碗拍
2076,sherd,1368-1644,null,null,null,Auckland Museum,null,null,ceramic/inorganic material/AAT Materials; copper glaze/ceramic glaze/glaze/coating (material)/AAT Materials,"sherd, small, round; jun (Chün) glaze, circular Ming celadon blushed sherd with reduced copper",https://www.aucklandmuseum.com/discover/collections/record/14997?k=chinese,https://collection-api.aucklandmuseum.com/records/images/medium/121367/5dd3cd05ac32f2bf56330ecd30af256e3e1191e5.jpg,sherd,1368-1644,无,无,无,奥克兰博物馆,无,无,陶瓷/无机材料/AAT材料；铜釉/陶瓷釉/釉/涂层（材料）/AAT材料,碎片，小，圆形；钧瓷（Chün）釉，圆形明青瓷，还原铜腮红
